monster,name,flavor,phase,phase[style:fill],phaseColor[style:fill],cost,eatenText,eatenColor[style:fill],specialText,fang?,claw?,ditgp?,dit,lingersgp?,lingers,mvt-?-value,mvtgp-?
1,"""Nurse""","The ""Doctor"" will see you now.",A,#N/A,#N/A,10 pts,Eaten by 4,#da8787,As many nurses can operate in a city as there are open routes.,n,n,n,N/A,n,0,1,cod
2,"""Nurse""","The ""Doctor"" will see you now.",A,#N/A,#N/A,10 pts,Eaten by 4,#da8787,As many nurses can operate in a city as there are open routes.,n,n,n,N/A,n,0,1,cod
3,"""Nurse""","The ""Doctor"" will see you now.",A,#N/A,#N/A,10 pts,Eaten by 4,#da8787,As many nurses can operate in a city as there are open routes.,n,n,n,N/A,n,0,1,cod
4,"""Nurse""","The ""Doctor"" will see you now.",A,#N/A,#N/A,10 pts,Eaten by 4,#da8787,As many nurses can operate in a city as there are open routes.,n,n,n,N/A,n,0,1,cod
5,Steelclaw,"They call him Steelclaw, but they spell it incorrectly. Stealclaw got his name because he was declawed as a pup.",A,#N/A,#N/A,,Eaten by 4,#da8787,     ,n,y,y,20 pts,n,0,3,cd
6,Skeleton,*clink*,1,#ffe680,#ffe680,80 pts,Eaten by 3,#aaccff,     ,n,n,y,10 pts,n,0,2,cxd
7,Skeleton,*click*,1,#ffe680,#ffe680,80 pts,Eaten by 3,#aaccff,     ,n,n,y,10 pts,n,0,2,cxd
8,Skeleton,*clack*,1,#ffe680,#ffe680,80 pts,Eaten by 3,#aaccff,     ,n,n,y,10 pts,n,0,2,cxd
9,Skeleton,*xylophone noises*,1,#ffe680,#ffe680,80 pts,Eaten by 3,#aaccff,     ,n,n,y,10 pts,n,0,2,cxd
10,Zombie,Blerg!,1,#ffe680,#ffe680,60 pts,Eaten by 2,#c6e9af,     ,n,n,y,10 pts,n,0,2,cd
11,Zombie,Blarrr!,1,#ffe680,#ffe680,60 pts,Eaten by 2,#c6e9af,     ,n,n,y,10 pts,n,0,2,cd
12,Zombie,Urrrrrh!,1,#ffe680,#ffe680,60 pts,Eaten by 2,#c6e9af,     ,n,n,y,10 pts,n,0,2,cd
13,Zombie,"Hi, my name's Hank.",1,#ffe680,#ffe680,60 pts,Eaten by 2,#c6e9af,     ,n,n,y,10 pts,n,0,2,cd
14,Swearwolf,"I am a werewolf, I swear it on me mam's grave. ",1,#ffe680,#ffe680,60 pts,Eaten by 3,#aaccff,Eaten and removed if Fang hired by hiring front. Only one Swearwolf can operate in a city.,n,n,n,N/A,n,0,1,cod
15,Swearwolf,"I am a werewolf, I swear it on me mam's grave.",1,#ffe680,#ffe680,60 pts,Eaten by 3,#aaccff,Eaten and removed if Fang hired by hiring front. Only one Swearwolf can operate in a city.,n,n,n,N/A,n,0,1,cod
16,Suckling,,2,#c6e9af,#c6e9af,160 pts,Eaten by 4,#da8787,     ,y,n,n,N/A,n,0,3,cxd
17,Suckling,,2,#c6e9af,#c6e9af,160 pts,Eaten by 4,#da8787,     ,y,n,n,N/A,n,0,3,cxd
18,Suckling,,2,#c6e9af,#c6e9af,160 pts,Eaten by 4,#da8787,     ,y,n,n,N/A,n,0,3,cxd
19,"""Hatchet"" Murray","The nickname Hatchet Murray is a misnomer, technically he uses an axe.",2,#c6e9af,#c6e9af,240 pts,Eaten by 4,#da8787,     ,n,n,y,10 pts,n,0,5,cxd
20,Constable,,2,#c6e9af,#c6e9af,200 pts,Eaten by 4,#da8787,     ,n,n,y,10 pts,n,0,3,cxd
21,Constable,,2,#c6e9af,#c6e9af,200 pts,Eaten by 4,#da8787,     ,n,n,y,10 pts,n,0,3,cxd
22,Constable,,2,#c6e9af,#c6e9af,200 pts,Eaten by 4,#da8787,     ,n,n,y,10 pts,n,0,3,cxd
23,Pup,I like my biology tutor. He was delicious!,2,#c6e9af,#c6e9af,160 pts,Eaten by 4,#da8787,     ,n,y,y,20 pts,n,0,3,cd
24,Pup,CLAWZ RULE! FANGZ DROOL!,2,#c6e9af,#c6e9af,160 pts,Eaten by 4,#da8787,     ,n,y,y,20 pts,n,0,3,cd
25,Pup,Err… *woof?*,2,#c6e9af,#c6e9af,160 pts,Eaten by 4,#da8787,     ,n,y,y,20 pts,n,0,3,cd
26,Ghoul,"I am not a zombie, I don't associate with that riff-raff!",2,#c6e9af,#c6e9af,140 pts,Eaten by 3,#aaccff,     ,n,n,y,10 pts,n,0,4,cd
27,Haunted,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,Can move through token blocked cities,n,n,y,10 pts,n,0,4,cd
28,Grayback,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,n,y,y,20 pts,n,0,6,cd
29,Grayback,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,n,y,y,20 pts,n,0,6,cd
30,Grayback,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,n,y,y,20 pts,n,0,6,cd
31,Grayback,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,n,y,y,20 pts,n,0,6,cd
32,Soldier,"Jenkins, five rounds rapid!",3,#aaccff,#aaccff,480 pts,Eaten by 5,#e6e6e6,     ,n,n,y,10 pts,n,0,6,cxd
33,Soldier,"They call him the Brigadier, nobody knows what exactly it means, but he keeps saying it's a rank.",3,#aaccff,#aaccff,480 pts,Eaten by 5,#e6e6e6,     ,n,n,y,10 pts,n,0,6,cxd
34,Count,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,y,n,n,N/A,y,1,4,cxd
35,Count,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,y,n,n,N/A,y,1,4,cxd
36,Count,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,y,n,n,N/A,y,1,4,cxd
37,Count,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,     ,y,n,n,N/A,y,1,4,cxd
38,Captain Harker,,3,#aaccff,#aaccff,550 pts,Eaten by 5,#e6e6e6,     ,n,n,y,10 pts,n,0,5,cxd
39,Renfield,,3,#aaccff,#aaccff,450 pts,Eaten by 5,#e6e6e6,Can be traded in for Count Dracula (when available) for 200,n,n,n,N/A,n,0,2,cxd
40,Werewolf,"No, I don't need a flea collar!",4,#da8787,#da8787,700 pts,Permanent,#ffffff,     ,n,y,y,20 pts,n,0,7,cd
41,Werewolf,"No, I don't need a flea collar!",4,#da8787,#da8787,700 pts,Permanent,#ffffff,     ,n,y,y,20 pts,n,0,7,cd
42,Werewolf,"No, I don't need a flea collar!",4,#da8787,#da8787,700 pts,Permanent,#ffffff,     ,n,y,y,20 pts,n,0,7,cd
43,Assassin,,4,#da8787,#da8787,700 pts,Permanent,#ffffff,     ,n,n,y,10 pts,n,0,7,cxd
